definition,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Right.letter_a,0.650249183177948,0.4898469150066376,0.0,0.5951496362686157,0.49333280324935913,-0.043585874140262604,0.540410041809082,0.40177470445632935,-0.052737604826688766,0.5242039561271667,0.31052494049072266,-0.05665777251124382,0.5294749140739441,0.2653292417526245,-0.055575232952833176,0.5691788196563721,0.33075541257858276,-0.012990032322704792,0.5689606666564941,0.2748700976371765,-0.031890884041786194,0.5779524445533752,0.33472180366516113,-0.03229158744215965,0.5814179182052612,0.36780816316604614,-0.029074298217892647,0.6066621541976929,0.3254050016403198,0.0033870672341436148,0.6020833253860474,0.26815974712371826,-0.021614154800772667,0.6085466742515564,0.3550644814968109,-0.018282756209373474,0.6062212586402893,0.37400728464126587,-0.006593691185116768,0.6419209837913513,0.3288796544075012,0.011773470789194107,0.6391705870628357,0.2697628438472748,-0.016797784715890884,0.6383289694786072,0.35194870829582214,-0.009535549208521843,0.6347787380218506,0.3834809958934784,0.005691060796380043,0.6789494752883911,0.3337196409702301,0.01598571613430977,0.6752016544342041,0.2889905869960785,0.0008810590952634811,0.6708491444587708,0.3422281742095947,0.003947846125811338,0.6669034957885742,0.365966796875,0.014377862215042114
Right.letter_a,0.6492621898651123,0.49103066325187683,0.0,0.5936259627342224,0.48997795581817627,-0.038387712091207504,0.5389539003372192,0.4009454846382141,-0.04551149532198906,0.5239298939704895,0.3102661967277527,-0.048745296895504,0.5334240794181824,0.265815794467926,-0.04703327640891075,0.5709437131881714,0.33241400122642517,-0.007903026416897774,0.5693718194961548,0.27606847882270813,-0.027012182399630547,0.5774796605110168,0.33559587597846985,-0.027468569576740265,0.5818355083465576,0.370316743850708,-0.02391742542386055,0.6076277494430542,0.32612431049346924,0.00498548336327076,0.6023240089416504,0.2689291536808014,-0.019998658448457718,0.6086656451225281,0.35496246814727783,-0.0167066752910614,0.6081423759460449,0.37726202607154846,-0.004814828280359507,0.6426094770431519,0.32892554998397827,0.010000237263739109,0.639036238193512,0.27039429545402527,-0.018769437447190285,0.638464629650116,0.35232433676719666,-0.011120883747935295,0.6368963122367859,0.38725391030311584,0.004675482865422964,0.679452657699585,0.3337373435497284,0.011088705621659756,0.6750398874282837,0.28619563579559326,-0.004040226340293884,0.669551432132721,0.33923593163490295,-0.00027375464560464025,0.6671500205993652,0.3667904734611511,0.01081851962953806
Right.letter_a,0.6503266096115112,0.48618650436401367,0.0,0.5942491292953491,0.4887692332267761,-0.041996296495199203,0.5390766859054565,0.3976329267024994,-0.049609292298555374,0.5237286686897278,0.3066999614238739,-0.05213208124041557,0.5307297706604004,0.2620701193809509,-0.04971766099333763,0.5699286460876465,0.327470600605011,-0.01167300995439291,0.5691052675247192,0.27212363481521606,-0.030863910913467407,0.5780342817306519,0.33258649706840515,-0.030938770622015,0.5816438794136047,0.3659706711769104,-0.027108479291200638,0.6069799661636353,0.32201242446899414,0.003984686452895403,0.6019458174705505,0.2645251750946045,-0.021092455834150314,0.6086512207984924,0.3522626459598541,-0.017070043832063675,0.6070112586021423,0.3727203905582428,-0.004554386250674725,0.641891598701477,0.32488131523132324,0.011616271920502186,0.6387301087379456,0.26541468501091003,-0.01765512488782406,0.6382073760032654,0.3493232727050781,-0.009914551861584187,0.6353839039802551,0.38246649503707886,0.006142758764326572,0.6786347031593323,0.32954445481300354,0.01518644392490387,0.6748732328414917,0.28360888361930847,-0.0006065945490263402,0.670127809047699,0.33817437291145325,0.0027199292089790106,0.666731595993042,0.36369961500167847,0.013753823935985565
Right.letter_a,0.6496862769126892,0.4956032335758209,0.0,0.5950267910957336,0.4927467703819275,-0.039754655212163925,0.5393285751342773,0.40671566128730774,-0.04808815196156502,0.5224757790565491,0.3174639642238617,-0.05213332548737526,0.5319844484329224,0.2732899487018585,-0.05123404785990715,0.5707446932792664,0.3404528498649597,-0.01184422243386507,0.5674580335617065,0.28242701292037964,-0.030906716361641884,0.5754804611206055,0.34290629625320435,-0.03129342570900917,0.5796116590499878,0.3759324848651886,-0.02777952514588833,0.6077250242233276,0.33407706022262573,0.0017850296571850777,0.6011558175086975,0.2759476900100708,-0.022663060575723648,0.6076943874359131,0.3612392842769623,-0.019363999366760254,0.608356237411499,0.38243934512138367,-0.007749532349407673,0.6429334878921509,0.3356488049030304,0.007817355915904045,0.6383965015411377,0.27713435888290405,-0.019605737179517746,0.6371963620185852,0.3570578098297119,-0.012182485312223434,0.6366283893585205,0.3907020092010498,0.0027790197636932135,0.6802299618721008,0.33866432309150696,0.00984957069158554,0.6749117970466614,0.2913701832294464,-0.0038739568553864956,0.668919563293457,0.3422324061393738,8.862747927196324e-05,0.6672154664993286,0.36910587549209595,0.010701749473810196
Right.letter_a,0.6477879285812378,0.4974312484264374,0.0,0.5935314297676086,0.4961395263671875,-0.03746582567691803,0.5385428071022034,0.4087679982185364,-0.04540324583649635,0.5216689109802246,0.3197958469390869,-0.0497424490749836,0.5321336388587952,0.27548810839653015,-0.04904879629611969,0.5690175294876099,0.3392004072666168,-0.009261265397071838,0.5675757527351379,0.2829231023788452,-0.029568074271082878,0.5753647089004517,0.3426978588104248,-0.030753901228308678,0.5795483589172363,0.3778511881828308,-0.02766057848930359,0.6055253148078918,0.33243250846862793,0.002199784154072404,0.600484311580658,0.276161789894104,-0.024464676156640053,0.607205867767334,0.36209574341773987,-0.021642912179231644,0.6067960262298584,0.38478028774261475,-0.00996297039091587,0.6406653523445129,0.3350347876548767,0.005960126873105764,0.6366173624992371,0.27675434947013855,-0.024006104096770287,0.6365880966186523,0.3583606481552124,-0.015741491690278053,0.6350199580192566,0.3930976688861847,0.0004995448398403823,0.6776020526885986,0.33915552496910095,0.005833941511809826,0.67294842004776,0.29202502965927124,-0.01002702210098505,0.6675921082496643,0.3457685112953186,-0.005762158427387476,0.6648438572883606,0.3731476366519928,0.005658523645251989
Right.letter_a,0.6481095552444458,0.493025541305542,0.0,0.5928490161895752,0.4957900643348694,-0.04170605540275574,0.5379576683044434,0.4031488299369812,-0.04998873919248581,0.5220561027526855,0.31195276975631714,-0.05344614386558533,0.5287095904350281,0.2668154239654541,-0.05201585218310356,0.5676714181900024,0.3332633674144745,-0.01259097084403038,0.5681139230728149,0.27802541851997375,-0.03271275758743286,0.5764526724815369,0.3377598524093628,-0.0334307998418808,0.579692006111145,0.37224081158638,-0.030014753341674805,0.6049559712409973,0.32754215598106384,0.002208658028393984,0.600712239742279,0.2707017958164215,-0.023903120309114456,0.6072218418121338,0.35775086283683777,-0.020386219024658203,0.6051542162895203,0.3787654936313629,-0.00826630275696516,0.6401042938232422,0.33060991764068604,0.008998277597129345,0.6372159123420715,0.2710762619972229,-0.021097904071211815,0.6369218826293945,0.3540666699409485,-0.01332026720046997,0.6337910294532776,0.38729164004325867,0.0027198658790439367,0.676868736743927,0.3354756832122803,0.011717651970684528,0.6729930639266968,0.28937628865242004,-0.0046463655307888985,0.6686986684799194,0.34370243549346924,-0.00129640509840101,0.6651924252510071,0.36879757046699524,0.009692772291600704
Right.letter_a,0.6473010778427124,0.4970729351043701,0.0,0.5924335718154907,0.4952070415019989,-0.03733540698885918,0.5373411774635315,0.4068300426006317,-0.04526519775390625,0.5215088129043579,0.31639528274536133,-0.049579501152038574,0.531593382358551,0.27217796444892883,-0.048911090940237045,0.568300724029541,0.33903878927230835,-0.009664838202297688,0.5664774179458618,0.28206002712249756,-0.029109153896570206,0.5746212005615234,0.34174853563308716,-0.029710663482546806,0.5788775682449341,0.3765467703342438,-0.026367269456386566,0.6053378582000732,0.332416832447052,0.002063595689833164,0.5997627973556519,0.2757343649864197,-0.023159515112638474,0.6062782406806946,0.36099961400032043,-0.0197915006428957,0.6059551239013672,0.38290536403656006,-0.00810449942946434,0.6408751010894775,0.3350085914134979,0.006220635958015919,0.6364589929580688,0.2764766812324524,-0.022169115021824837,0.6358249187469482,0.3570054769515991,-0.01393643394112587,0.6342597603797913,0.39143648743629456,0.0017649255460128188,0.6779663562774658,0.3394595682621002,0.006543280556797981,0.6729452610015869,0.29155653715133667,-0.00804860144853592,0.6672456860542297,0.34368884563446045,-0.003654597094282508,0.6648309230804443,0.3708043694496155,0.007463547866791487
Right.letter_a,0.6474406123161316,0.4964951276779175,0.0,0.592336893081665,0.49868524074554443,-0.04123058542609215,0.536841869354248,0.4076533913612366,-0.050076935440301895,0.5208873748779297,0.31685832142829895,-0.0543702095746994,0.5307215452194214,0.2718360424041748,-0.05360042676329613,0.5680896639823914,0.3377178907394409,-0.012254168279469013,0.5668386220932007,0.28147661685943604,-0.03311559185385704,0.5743188858032227,0.34132298827171326,-0.03423379734158516,0.5782335996627808,0.3748583495616913,-0.030970515683293343,0.6050732135772705,0.33223676681518555,0.001849284046329558,0.5993828177452087,0.2742478847503662,-0.024857250973582268,0.6058604121208191,0.36246299743652344,-0.0214359350502491,0.6048532128334045,0.3821702003479004,-0.00913313589990139,0.6401066780090332,0.3350124955177307,0.007870701141655445,0.6357628703117371,0.2748895287513733,-0.02227046713232994,0.6352060437202454,0.3587038218975067,-0.014220044016838074,0.6333799958229065,0.3917989730834961,0.0020806449465453625,0.677277684211731,0.3386312425136566,0.009806978516280651,0.6719508171081543,0.2914322018623352,-0.005952965933829546,0.6670436859130859,0.34612786769866943,-0.002021492924541235,0.6648417711257935,0.37231355905532837,0.009320064447820187
Right.letter_a,0.6477487087249756,0.49471139907836914,0.0,0.5923599600791931,0.4958651661872864,-0.040341299027204514,0.5380579233169556,0.4045630991458893,-0.04874545708298683,0.5218502283096313,0.31362271308898926,-0.05276843532919884,0.5287642478942871,0.26863211393356323,-0.0517255999147892,0.5671983957290649,0.3344953656196594,-0.010679601691663265,0.5669704079627991,0.27958402037620544,-0.03046952560544014,0.5759009718894958,0.3393169641494751,-0.031230503693223,0.579415500164032,0.37288734316825867,-0.027975451201200485,0.6044670939445496,0.32844212651252747,0.003135956823825836,0.5995936393737793,0.27192673087120056,-0.02259555272758007,0.6067208051681519,0.35932067036628723,-0.019158633425831795,0.6045450568199158,0.3786585330963135,-0.007154366467148066,0.6398051977157593,0.3315291106700897,0.008986600674688816,0.6363415718078613,0.27231454849243164,-0.020413050428032875,0.6360084414482117,0.355006605386734,-0.012651452794671059,0.6327382922172546,0.3876723051071167,0.003157370025292039,0.676750123500824,0.33638763427734375,0.010838995687663555,0.6729996800422668,0.2900499701499939,-0.004687510896474123,0.6683092713356018,0.3433266580104828,-0.0010952813317999244,0.6646403670310974,0.3682613968849182,0.009802383370697498
Right.letter_a,0.6468324065208435,0.4978788495063782,0.0,0.5917254686355591,0.49485859274864197,-0.036319550126791,0.5373371243476868,0.4084410071372986,-0.044293515384197235,0.5203717350959778,0.31939980387687683,-0.049182455986738205,0.5297532677650452,0.2749013602733612,-0.04902929812669754,0.568178653717041,0.3392656445503235,-0.00724804075434804,0.5656160712242126,0.2821415662765503,-0.027249818667769432,0.5732874274253845,0.34174275398254395,-0.028407711535692215,0.5779964327812195,0.37619826197624207,-0.025369904935359955,0.6045038104057312,0.3324359059333801,0.0033134787809103727,0.5986078381538391,0.2749055325984955,-0.02294923923909664,0.6052252054214478,0.361221581697464,-0.020258193835616112,0.6052843928337097,0.38285428285598755,-0.008634399622678757,0.6398586630821228,0.3352487087249756,0.006156479474157095,0.6348844170570374,0.27488356828689575,-0.023070959374308586,0.6345123052597046,0.3565811514854431,-0.014683857560157776,0.6336822509765625,0.39156392216682434,0.0014399763895198703,0.6770693063735962,0.339635968208313,0.005128807853907347,0.6716458797454834,0.2905804514884949,-0.009848128072917461,0.665630578994751,0.3439972996711731,-0.005162494722753763,0.6637797355651855,0.372052937746048,0.006350257899612188
